title,original_title,year,rating,companies,country,language,runtime,crew,cast,genres,collection,synopsis,budget,gross,tmdb_score,tmdb_votes,tmdb_id,imdb_id
15 North,15 North,2013,,,,English,,,,,,"Ben, a 25-year-old with anxiety and OCD still living with his mom, awakes one morning to a proposition: go on an all-expenses-paid road trip to Salt Lake City in order to move his Great Uncle Harold out of a retirement home. When she suggests he bring his friend Richardson along, Ben hesitates... Nonetheless, he invites Richardson to join him on the journey. With a fanny pack fully stocked with hand sanitizer in tow, the two hit the road...",,,0.0,0,277601,tt2431686
16 Acres,16 Acres,2012,,Tanexis Productions,United States of America,English,95.0,"Richard Hankin, Matt Kapp, Mike Marcucci","Michael Bloomberg, George Pataki, Chris Ward",Documentary,,The dramatic inside story of the monumental collision of interests at Ground Zero in the decade after 9/11.,,,7.6,7,130745,tt2234419
16 Blocks,16 Blocks,2006,,"Alcon Entertainment, Emmett/Furla Films",United States of America,English,105.0,"Richard Donner, Boaz Davidson, Avi Lerner","Bruce Willis, Yasiin Bey, David Morse","Action, Adventure, Crime, Thriller",,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",55000000.0,65664721.0,6.3,1133,2207,tt0450232
16-love,16-love,2012,,,,English,89.0,"Adam Lipsius, Noor Ahmed, Ilyssa Goodman","Lindsey Shaw, Chandler Massey, Susie Abromeit","Drama, Comedy, Romance, Family",,"When the number one junior player in the country is injured, she begins to discover the teenage life she never got to live... and find the love she never thought she'd have.",,,4.7,14,82626,tt1663673
16 Photographs at Ohrdruf,16 Photographs at Ohrdruf,2013,,,,English,,,,,,"With only a small stack of his grandfather's photos for guidance, filmmaker Matthew Nash tries to understand a family secret that began on April 4, 1945. His search reveals the horror of the first concentration camp found by the Allies and the amazing story of the soldiers who uncovered the Holocaust.",,,0.0,0,330646,tt2313816
16 Stones,16 Stones,2014,,Candlelight Media Group,United States of America,English,93.0,Brian Brough,"Shona Kay, Mason D. Davis",Adventure,,A modern day adventure about the search for special stones touched by the hand of the Lord and brought to the Americas.,,,0.0,0,293756,tt1212054
16 to Life,16 to Life,2009,,Duck Farm Films,,English,118.0,Becky Smith,"Hallee Hirsh, Theresa Russell, Shiloh Fernandez","Comedy, Romance",,Romantic comedy. A small town teenager's angst about sexual inexperience drives a comic quest for love and understanding on a birthday to end all birthdays.,,,4.4,5,91122,tt1130087
17 Miracles,17 Miracles,2011,,,,English,113.0,T.C. Christensen,"Jasen Wade, Emily Wadley, Jason Celaya","History, Drama, Adventure",,"As part of the Willie Handcart Company, Levi Savage (Jasen Wade) feared that leaving late in the season would lead to despair and death. What he came to find out is that for every tragedy, there is a multitude of miracles. Based on unbelievable actual events, and brought to you by filmmaker T.C. Christensen (Praise to the Man, The Work and the Glory), 17 Miracles will open your eyes to the stories of the Mormon Pioneers as you have never seen them before. Something extraordinary is about to happen.",,,5.3,12,75654,tt1909270
186 Dollars to Freedom,186 Dollars to Freedom,2012,,,United States of America,English,101.0,Camilo Vila,"John Robinson, Michael DeLorenzo, Alex Meraz","Action, Drama",,A young California surfer has to grow up in a hurry when he is thrown into a Peruvian political prison in 1980.,,,4.7,7,133738,tt1652361
1898: Our Last Men in the Philippines,1898: los últimos de Filipinas,2016,,"Instituto de la Cinematografía y de las Artes Audiovisuales, CIPI Cinematografica S.A.",Spain,Spanish; Castilian,130.0,"Salvador Calvo, Enrique Cerezo, Alejandro Hernández","Luis Tosar, Javier Gutiérrez, Álvaro Cervantes","War, Drama, History",,"The Philippines, 1898. Fifty Spanish soldiers arrive in the small village of Baler to rebuild an outpost. Although the war against the Filipinos and their American allies is almost lost, as is the Spanish Empire, the garrison will endure a cruel siege for eleven months. They will be the last to surrender.",6976542.0,,6.5,77,403357,tt5698568
18 Fingers of Death!,18 Fingers of Death!,2006,,,,English,87.0,James Lew,"Pat Morita, Shane Aaron, Erik Betts","Action, Adventure, Comedy",,"The ""buzz"" in Hollywood is that, ""18 FINGERS OF DEATH!"" will kick the butt out of the low budget martial arts movies genre and knocks us down to the ground laughing! This funny ""sockumentart"" of the world of Chop sockey, kung fooey, ninja poo poo, karate kidding croutching tiger stuff takes you on the journey of making martial arts movies at it's lowest.",,,3.7,6,20989,tt0397853
1900,Novecento,1976,,"Paramount, Les Productions Artistes Associés",France,Italian,317.0,"Bernardo Bertolucci, Alberto Grimaldi, Franco Arcalli","Robert De Niro, Gérard Depardieu, Dominique Sanda","Drama, History, Romance",,"Set in Bertolucci's ancestral region of Emilia, the film chronicles the lives of two men during the political turmoils that took place in Italy in the first half on the 20th century.",9000000.0,,7.8,235,3870,tt0074084
1920,1920,2008,,ASA Productions and Enterprises,India,Hindi,138.0,"Vikram Bhatt, Surendra Sharma, Amita Bishnoi","Rajneesh Duggal, Adah Sharma, Anjori Alagh",Horror,1920 Collection,"The year is 1920 and the house isolated in the wilderness has a secret. It is waiting for the curse to come true. For years, everyone who has bought the house and tried to pull it down has died of mysterious circumstances. It is like the house has a will and a life of its own.",,,5.6,18,19951,tt1301698
1920 London,1920 London,2016,,Reliance Entertainment,India,Hindi,120.0,Tinu Suresh Desai,"Sharman Joshi, Meera Chopra, Vishal Karwal",Horror,1920 Collection,"Shivangi (Meera Chopra) lives in London with her husband Veer Singh. One day, he receives a gift from Rajasthan. From then, strange things happen with Veer and his condition deteriorates.",,,4.4,27,392222,tt5638500
1922,1922,2017,,Campfire,United States of America,English,101.0,"Zak Hilditch, Ross M. Dinerstein","Thomas Jane, Neal McDonough, Molly Parker","Crime, Drama, Horror, Mystery, Thriller",,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",,,5.9,1421,452507,tt6214928
1945,1945,2017,,Katapult Film,Hungary,Hungarian,91.0,"Ferenc Török, Gábor T. Szántó","Péter Rudolf, Bence Tasnádi, Tamás Szabó Kimmel",Drama,,"An unsettling feeling overwhelms a small Hungarian town when two orthodox Jews arrive with a mysterious trunk. As residents begin to speculate on the purpose of the visit of these two strangers, order starts to crumble in town with some pursuing devious plans and others finding remorse in their hearts.",1669597.0,,7.3,24,440342,tt5815492
1981,1981,2009,,"Alliance Vivafilm, GO Films",Canada,French,102.0,"Ricardo Trogi, Nicole Robert","Jean-Carl Boucher, Claudio Colangelo, Sandrine Bisson","Comedy, Drama, Romance",1981 Collection,Filmmaker Ricardo Trogi recalls the events surrounding his family moving to a new neighborhood when he was 11-years-old.,,,7.0,23,30174,tt1286159
1990: The Bronx Warriors,1990: I guerrieri del Bronx,1982,,Deaf Internacional Film SrL.,Italy,Italian,89.0,"Enzo G. Castellari, Fabrizio De Angelis","Christopher Connelly, Fred Williamson, Vic Morrow","Action, Science Fiction",The Bronx Warriors Trilogy,"In a post-apocalyptic New York City, a policeman infiltrates the Bronx, which has become a battleground for several murderous street gangs.",,,4.7,39,61755,tt0085124
1 a Minute,1 a Minute,2010,,,,English,90.0,Namrata Singh Gujral,"Kelly McGillis, Olivia Newton-John, Namrata Singh Gujral",Documentary,,"The film chronicles the diagnosis and treatment of a breast cancer survivor, interspersed with personal tales from famous international celebrities who are also survivors, or affected closely by cancer.",,,0.0,0,45034,tt1489877
1 Buck,1 Buck,2017,,Mad Street Motion Pictures,United States of America,English,89.0,"Fabien Dufils, Bassam Abdallah, Ahmad M. Abdallah","John Freeman, Katie Ryan, Cassi Colvin","Drama, Thriller",,"Shifting from one pocket to another, from one man's drama to another, a lowly dollar bill, 'one buck' takes us on an odyssey through the heart of a forgotten town in Louisiana.",,,5.2,14,477201,tt4685428
1 Chance 2 Dance,1 Chance 2 Dance,2014,,,,English,90.0,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt",,,"When a 17-year old aspiring dancer is uprooted in her high school senior year, she finds herself divided between two boys, and she will have one last shot at making her dream a reality.",,,5.9,37,253484,tt2388856
1 Message,1 Message,2011,,,,English,,"Jefferson Moore, Mary T. Lennox, Christopher Morrow","Ashley Kate Adams, Juliana Allen, Matt Wallace",Drama,,"Tells the story of Becca, a beautiful 28 year-old woman whose perfect life is brought to an abrupt halt after she accidentally discovers a lump in her breast.",,,0.0,0,277684,tt1701202
1 Mile To You,1 Mile To You,2017,,"WeatherVane Productions, Cinema Revival",United States of America,English,104.0,"Leif Tilden, F.X. Vitolo, Peter Holden","Graham Rogers, Billy Crudup, Liana Liberato","Drama, Romance",,"After a teenager's friends die in an accident, he finds running allows him to remember them perfectly. Running, however, also brings him notoriety. He is caught between keeping the past alive and making new memories in the present.",,,6.5,114,342472,tt2184233
1 Mountain,1 Mountain,2011,,,,English,,,,,,Documentary - David Reichert,,,0.0,0,269818,tt2132412
1 Night,1 Night,2017,,"Meridian Content, Sorrento Productions",United States of America,English,80.0,"Minhal Baig, Kerry Barden, Hans Canosa","Kyle Allen, Isabelle Fuhrman, Justin Chatwin","Drama, Romance",,"Thirty-something Elizabeth must decide whether to salvage her disappointing relationship with Drew. Meanwhile, Bea, a worrisome teenager, reconnects with her introverted childhood friend, Andy, at their high school prom. Past and present collide as two couples explore love over the course of one night at a hotel.",,,6.4,113,416691,tt4126694
1st Summoning,1st Summoning,2019,,,,English,97.0,Raymond Wood,"Hayley Lovitt, Jason MacDonald, Buddy Campbell",Horror,,"Four student filmmakers set out to explore an abandoned building famous for its connection with the occult, but as their journey becomes littered with strange behavior and unexplained phenomena, it becomes clear the horror they are attempting to document may already be lurking among them.",,,3.4,15,583046,tt8142044
20.000 Days on Earth,20.000 Days on Earth,2014,,"British Film Institute, Corniche Pictures",United Kingdom,English,97.0,"Iain Forsyth, Jane Pollard, Nick Cave","Nick Cave, Warren Ellis, Blixa Bargeld","Documentary, Drama, Music",,A semi-fictionalized documentary about a day in the life of Australian musician Nick Cave's persona.,,,7.2,107,246400,tt2920540
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1997,,"Hallmark Entertainment, RHI Entertainment",United States of America,English,95.0,"Michael Anderson, John Davis, Robert Halmi Sr.","Richard Crenna, Ben Cross, Julie Cox","Adventure, Action, Science Fiction",,"In the 19th century, an expert marine biologist is hired by the government to determine what's sinking ships all over the ocean. His daughter follows him. They are intercepted by a mysterious captain Nemo and his incredible submarine.",,,5.6,5,2965,tt0118247
"20,000 Miles on a Horse","20,000 Miles on a Horse",2007,,Tom Jennings Productions,United States of America,English,109.0,Tom Jennings,"Louis Brunkhe, Vladimir Fissenko",Documentary,,"This Feature documentary is about the lives of Louis Brunke and Vladimir Fissenko who rode on horseback from the southern tip of Argentina to Prudhoe Bay, Alaska. It took them five years to cross 14 countries -- and they filmed it all.",,,6.0,1,423888,tt1102155
200 Degrees,200 Degrees,2017,,,,English,91.0,Georgio Serafini,"Eric Balfour, LaDon Drummond, Joe Grisaffi",Thriller,,"Ryan Hinds awakes inside a sealed industrial kiln. He is set challenges by a voice with no face, pushed to the limits of human endurance as the temperature within the kiln begins to rise.",,,4.9,12,460711,tt4762592
200 Pounds Beauty,미녀는 괴로워,2006,,"KM Culture Co., Realies Pictures",South Korea,Korean,120.0,"Kim Yong-hwa, Kim Seon-jeong, Bang Chu-Seong","Kim Ah-joong, Joo Jin-mo, Sung Dong-il","Drama, Comedy, Romance",,"Based on a Japanese manga, ""Kanna-San, Daiseikou Desu,"" this story revolves around Kang Han-na (Kim Ah-jung), an overweight phone sex employee and secret vocalist for Ammy, a famous Korean pop singer who actually lip syncs as she cannot sing. After getting humilitated publicly by an ungrateful Ammy, Han-na undergoes an extreme makeover to become a pop sensation herself.",4000000.0,,6.6,103,18377,tt0940642
2010: Moby Dick,2010: Moby Dick,2010,,The Asylum,United States of America,English,87.0,Trey Stokes,"Barry Bostwick, Renee O'Connor, Bart Baggett","Action, Adventure, Drama, Horror, Science Fiction, Thriller",,"That infamous whale is bigger, badder and a whole lot stronger in this sci-fi reimagining of Herman Melville’s classic tale of the battle between man, sea and sea creature starring “Xena” alum Rene O’Connor as the (traditionally male) narrator. But the boat — now a high-tech submarine — is also bigger, and Capt. Ahab is as determined as ever to settle the score and take down the mighty sea mammal that maimed him.",,,3.3,36,50053,tt1694508
2010 NBA Champions: Los Angeles Lakers,2010 NBA Champions: Los Angeles Lakers,2010,,NBA Entertainment,United States of America,English,85.0,"Steven Weintraub, Don Cocoros","Kobe Bryant, Phil Jackson, Pau Gasol",Documentary,,"Relive the Lakers stirring run to glory on this action-packed recap of the 2010 NBA Finals. You’ll get the inside story of the NBA champs with exclusive behind the scenes footage and interviews, along with fantastic highlights of their championship season and also exciting bonus features. Enjoy the ride as the Lakers complete the road to a repeat.",,,0.0,0,110519,tt9682412
2012 Doomsday,2012 Doomsday,2008,,,,English,85.0,Nick Everhart,"Cliff DeYoung, Dale Midkiff, Ami Dolenz","Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",,"On December 21, 2012 four strangers on a journey of faith are drawn to an ancient temple in the heart of Mexico. For the Mayans it is the last recorded day. For NASA scientists it is a cataclysmic polar shift. For the rest of us, it is Doomsday.",250000.0,,2.6,55,16266,tt1132130
2012: Ice Age,2012: Ice Age,2011,,,United States of America,English,91.0,"Trey Stokes, Travis Fort, Paul Sinor","Patrick Labyorteaux, Julie McCullough, Nick Afanasiev","Action, Adventure, Science Fiction",,"A volcanic eruption in Iceland sends a glacier towards North America, causing everything in it's path to freeze. A family man struggles to escape the onslaught of the coming ice age.",,,3.9,133,59722,tt1846444
